username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_sku_1,Q_sku_2,Q_sku_3,Q_vic_1,Q_vic_2,Q_vic_3,Q_met_1,Q_met_2,Q_met_3,Q_mus_1,question1,Q_mus_2,Q_mus_3,Q_spa_1,Q_spa_2,Q_spa_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Skull Evolution Filter, memory questions","rt_Victorian High Street Filter, memory questions","rt_Science Experiment Filter, memory questions","rt_Reflections of an Artist Filter, memory questions","rt_Satellite Launcher Filter, memory questions",survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,"survey_page_changed_to_Reflections of an Artist Filter, memory questions","order_Reflections of an Artist Filter, memory questions","survey_page_changed_to_Skull Evolution Filter, memory questions","order_Skull Evolution Filter, memory questions","survey_page_changed_to_Science Experiment Filter, memory questions","order_Science Experiment Filter, memory questions","survey_page_changed_to_Victorian High Street Filter, memory questions","order_Victorian High Street Filter, memory questions","survey_page_changed_to_Satellite Launcher Filter, memory questions",internal_id,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,"order_Satellite Launcher Filter, memory questions",rt_general info_1,"survey_page_changed_to_Skull Evolution Filter, memory questions_1","rt_Skull Evolution Filter, memory questions_1","survey_page_changed_to_Science Experiment Filter, memory questions_1","rt_Science Experiment Filter, memory questions_1","survey_page_changed_to_Satellite Launcher Filter, memory questions_1","rt_Satellite Launcher Filter, memory questions_1","survey_page_changed_to_Victorian High Street Filter, memory questions_1","rt_Victorian High Street Filter, memory questions_1",pageNumber,order_general info_1,testxr_participant_id,testxr_uuid,rt_general info_1_2,"order_Skull Evolution Filter, memory questions_1"
﻿,0,,,2023-05-10 12:52:39.376899,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,57a867cc70c76a00012469cd,,,,1,1,-1,,-2,1,-3,1,1,,-2,1,1,1,-1,3,7,2,,23,23,18,26,,116,1m:56s,AnonymousUser,57a867cc70c76a00012469cd,64413beb7a2d6b000b31e13a,645b8573a441560d4d430bea,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=57a867cc70c76a00012469cd&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b8573a441560d4d430bea,1,3,2,10,3,12,4,102,,30,5,79,7,53,14998,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:52:57.102944,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,63d41c63af65d54621b0d37a,,,1,1,1,-3,-1,1,-2,1,1,1,,-2,1,-2,-1,1,34,13,8,52,75,,47,38,,304,5m:4s,AnonymousUser,63d41c63af65d54621b0d37a,64413b04f9885d4cc8821c4a,645b856ab125e0da3a89f962,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=63d41c63af65d54621b0d37a&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b856ab125e0da3a89f962,1,34,2,47,3,55,4,177,6,268,,102,5,230,14999,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:52:58.865148,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5eaae0b28ba2df0570296c3a,,,-3,1,-1,1,1,1,-2,1,1,1,,1,-3,1,1,1,9,12,4,,29,29,52,31,,198,3m:18s,AnonymousUser,5eaae0b28ba2df0570296c3a,64413b04f9885d4cc8821c4a,645b858df92f0f80e403d902,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5eaae0b28ba2df0570296c3a&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b858df92f0f80e403d902,1,9,2,21,3,25,4,166,,137,7,77,5,106,15000,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:54:01.587053,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,59d9cea2e2762800015eb791,,,-3,1,-1,-2,,-2,1,1,-1,-3,,-2,-1,1,-2,1,17,10,6,19,32,,8,22,,125,2m:5s,AnonymousUser,59d9cea2e2762800015eb791,64413b04f9885d4cc8821c4a,645b85c214608aa9b677807b,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=59d9cea2e2762800015eb791&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b85c214608aa9b677807b,1,17,2,27,3,108,7,66,5,116,,34,4,85,15001,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:54:07.970642,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,5e96185ae3d45508abe19a36,,,-2,-3,-1,1,-3,1,-2,1,1,1,,1,-1,1,1,-1,11,20,4,46,37,31,27,,,237,3m:57s,AnonymousUser,5e96185ae3d45508abe19a36,64413beb7a2d6b000b31e13a,645b85c514608aa9b677807d,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=5e96185ae3d45508abe19a36&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b85c514608aa9b677807d,1,11,2,31,3,150,7,103,6,72,5,35,4,177,15002,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:54:12.894358,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,62795033eec9c814d8caf988,,,1,1,-1,-1,-1,-2,-2,-3,-1,-2,,-3,1,-2,-2,-2,7,6,4,49,25,29,,35,,183,3m:3s,AnonymousUser,62795033eec9c814d8caf988,64413a0d54e71805ea2a1795,645b85d41cf092e4d67e1154,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=62795033eec9c814d8caf988&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b85d41cf092e4d67e1154,1,7,2,13,3,156,,17,4,66,5,130,7,95,15003,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:55:21.296803,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,609ba88914082a4a5bb77ce2,,,-3,1,1,-3,1,1,-2,-3,-3,-2,,-3,-3,-3,1,1,13,8,4,20,28,20,21,,,125,2m:5s,AnonymousUser,609ba88914082a4a5bb77ce2,64413a0d54e71805ea2a1795,645b86141fe1b262ae68a8ca,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=609ba88914082a4a5bb77ce2&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b86141fe1b262ae68a8ca,1,13,2,21,3,94,7,74,6,25,4,45,5,115,15004,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:55:29.142423,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,5bb21a6ed14ec100019840fb,,,1,-3,-1,1,1,-2,1,1,1,1,,1,,-2,1,1,6,16,6,26,,369,12,19,,489,8m:9s,AnonymousUser,5bb21a6ed14ec100019840fb,64413beb7a2d6b000b31e13a,645b858fb5d2843fb9430bf7,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=5bb21a6ed14ec100019840fb&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b858fb5d2843fb9430bf7,1,6,2,22,3,417,6,429,7,48,5,455,,28,15005,,,,,4,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:56:42.474586,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,5c345ebad4f77a0001a91ec0,,,1,1,1,-2,1,-2,1,1,-1,1,,-3,1,-2,-2,-3,4,11,4,39,39,43,,44,,231,3m:51s,AnonymousUser,5c345ebad4f77a0001a91ec0,64413beb7a2d6b000b31e13a,645b866bdab20ad320cd0eb7,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=5c345ebad4f77a0001a91ec0&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b866bdab20ad320cd0eb7,1,4,2,15,3,185,,102,6,20,4,63,5,141,15006,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:56:44.672150,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,62e17900c4ff2316a7297ce6,,,-3,1,-2,-2,1,-2,1,1,-1,-2,,-2,1,-3,-2,1,11,15,6,29,,23,27,9,,142,2m:22s,AnonymousUser,62e17900c4ff2316a7297ce6,64413beb7a2d6b000b31e13a,645b866a96ff478b057c87c1,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=62e17900c4ff2316a7297ce6&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b866a96ff478b057c87c1,1,11,2,26,3,93,7,32,4,70,6,120,,61,15007,,,,,5,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:56:57.254124,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,5a7226d9f660ae0001a9a547,,,-1,1,-1,-3,1,-3,,1,-3,-1,,-2,1,-1,-2,-3,9,6,18,7,45,,15,10,,118,1m:58s,AnonymousUser,5a7226d9f660ae0001a9a547,64413b954466c8a7f2cb51d1,645b866f8e71b8e107f7c7b2,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=5a7226d9f660ae0001a9a547&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b866f8e71b8e107f7c7b2,1,9,2,15,3,33,4,104,7,111,,48,5,94,15008,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:57:03.526325,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,613e0f948106543eed4a7d05,,,-2,-1,-2,-1,1,1,-3,-2,-2,,,-3,-3,-3,-2,-3,5,8,2,,33,29,6,30,,126,2m:6s,AnonymousUser,613e0f948106543eed4a7d05,64413b954466c8a7f2cb51d1,645b8683f2e253bcaddf0218,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=613e0f948106543eed4a7d05&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b8683f2e253bcaddf0218,1,5,2,13,3,75,6,114,,46,5,81,7,16,15009,,,,,4,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:58:19.359328,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,,,,-2,1,-2,-1,1,1,1,-3,-1,1,,-3,-1,1,1,1,34,8,2,,203,27,131,76,,517,8m:37s,AnonymousUser,5c4e5f2ae5f00f0001542748,64413b04f9885d4cc8821c4a,645b86a99dc003ce573119dc,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5c4e5f2ae5f00f0001542748&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b86a99dc003ce573119dc,1,34,2,42,3,247,5,481,,454,7,44,4,378,15010,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:58:46.343971,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,62d59d0df8da03fdf7f8c317,,,1,1,1,-1,1,-2,1,-2,-3,-2,,1,-1,1,-1,1,17,4,2,35,54,23,,35,,249,4m:9s,AnonymousUser,62d59d0df8da03fdf7f8c317,64413b954466c8a7f2cb51d1,645b86dec96c3590fbbdb387,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=62d59d0df8da03fdf7f8c317&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b86dec96c3590fbbdb387,1,17,2,21,3,229,,194,7,170,6,116,5,81,15011,23,7,30,51,4,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:59:46.095019,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,63e90595054d32e78638d3fb,,,1,-1,1,1,-1,-3,-2,1,1,-2,,1,-2,-3,-2,-3,6,8,4,18,8,,17,29,,106,1m:46s,AnonymousUser,63e90595054d32e78638d3fb,64413b954466c8a7f2cb51d1,645b872571e8a7ad01acb8c2,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=63e90595054d32e78638d3fb&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b872571e8a7ad01acb8c2,1,6,2,14,3,73,7,47,5,90,,65,6,18,15012,,,,,4,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:59:59.390804,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,61588a883213fd00ccae7c21,,,-3,1,1,-3,1,1,1,1,-2,1,,1,-3,1,-2,-1,7,6,3,25,27,20,,21,,126,2m:6s,AnonymousUser,61588a883213fd00ccae7c21,64413beb7a2d6b000b31e13a,645b871ffa0bf977613c262c,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=61588a883213fd00ccae7c21&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b871ffa0bf977613c262c,1,7,2,13,3,109,,16,4,89,7,62,6,41,15013,,,,,5,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:00:07.929315,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,5f105b47d36c8701ec112317,,,1,1,1,-1,1,-2,1,1,1,1,,-2,-3,-3,-2,1,18,5,5,62,29,,31,25,,246,4m:6s,AnonymousUser,5f105b47d36c8701ec112317,64413b954466c8a7f2cb51d1,645b872571e8a7ad01acb8c1,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=5f105b47d36c8701ec112317&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b872571e8a7ad01acb8c1,1,18,2,23,3,29,4,60,5,176,,147,7,122,15014,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:00:47.371808,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,609d1ddf6aa3ba55f1bf4267,,,-3,1,1,1,-3,-2,1,-3,1,-2,,-1,-1,-2,-2,-1,34,81,4,20,,32,128,17,,488,8m:8s,AnonymousUser,609d1ddf6aa3ba55f1bf4267,64413beb7a2d6b000b31e13a,645b873eff3ced82dff7c78d,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=609d1ddf6aa3ba55f1bf4267&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b873eff3ced82dff7c78d,1,35,2,116,3,120,4,297,7,248,5,317,,280,15015,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:03:24.130822,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,642b03776e1d23aedc7bf5d1,,,,-3,-1,1,1,-2,,1,-2,1,,-2,-1,1,-1,-2,23,10,7,38,,11,37,61,,366,6m:6s,AnonymousUser,642b03776e1d23aedc7bf5d1,64413beb7a2d6b000b31e13a,645b870ac2213d59d8538261,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=642b03776e1d23aedc7bf5d1&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b870ac2213d59d8538261,1,23,2,33,3,40,4,77,5,115,6,187,,126,15016,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:03:55.016936,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5d3587a13e11900001093ae8,,,-2,-3,-1,-1,-1,-2,-2,-3,-3,-3,,-3,-3,-1,1,-2,17,5,3,40,32,22,23,,,161,2m:41s,AnonymousUser,5d3587a13e11900001093ae8,64413b04f9885d4cc8821c4a,645b88138db0f8a1643a2f54,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5d3587a13e11900001093ae8&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b88138db0f8a1643a2f54,1,17,2,22,3,97,6,25,4,120,7,65,5,142,15017,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:04:33.990754,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,63bc6db65ba761e48ef4c896,,,,-3,1,-1,-1,-2,-2,1,1,-2,,1,1,1,-2,1,23,10,7,26,,21,38,32,,180,3m:0s,AnonymousUser,63bc6db65ba761e48ef4c896,64413beb7a2d6b000b31e13a,645b882e937ed5c376cd0ed0,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=63bc6db65ba761e48ef4c896&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b882e937ed5c376cd0ed0,1,23,2,33,3,88,6,62,5,40,4,158,,126,15018,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:06:35.520609,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,641571922d04f807e7157a04,,,-1,1,-1,-2,1,-2,1,-1,-1,1,,-3,-3,-2,-2,-3,39,17,3,,86,22,62,38,,308,5m:8s,AnonymousUser,641571922d04f807e7157a04,64413beb7a2d6b000b31e13a,645b88871d27e554c59a2bda,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=641571922d04f807e7157a04&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b88871d27e554c59a2bda,1,39,2,56,3,145,5,268,,208,6,59,4,230,15019,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:08:21.096176,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,63df7cace40d9c9ddda134d8,,,1,1,-1,-3,1,-2,1,1,1,1,,-1,-1,-2,1,1,11,10,6,35,27,,27,39,21,185,3m:5s,AnonymousUser,63df7cace40d9c9ddda134d8,64413beb7a2d6b000b31e13a,645b8844cdd7cb7b1ce82112,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=63df7cace40d9c9ddda134d8&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b8844cdd7cb7b1ce82112,1,11,2,28,3,98,6,34,4,164,,70,5,125,15020,26,2,,,7,5,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:09:00.183616,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,597e0aa515837000016ae8db,,,,-3,1,1,1,-3,,1,-3,1,,-2,1,-1,-2,1,49,27,3,124,34,56,,18,,606,10m:6s,AnonymousUser,597e0aa515837000016ae8db,64413beb7a2d6b000b31e13a,645b89165201a587fb5400a9,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=597e0aa515837000016ae8db&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b89165201a587fb5400a9,1,49,2,76,3,312,,170,6,113,5,79,4,294,15021,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:09:12.207917,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,623729c5c785c64be4d2f444,,,1,1,1,-3,-1,-2,1,1,1,1,,-3,1,-2,1,-2,20,6,4,46,36,,23,39,,192,3m:12s,AnonymousUser,623729c5c785c64be4d2f444,64413beb7a2d6b000b31e13a,645b894aa80172b15d5c770a,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=623729c5c785c64be4d2f444&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b894aa80172b15d5c770a,1,20,2,26,3,112,6,66,5,174,,30,4,135,15022,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:09:34.058421,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5fc10c9ec1c0520a44a0d902,,,1,1,-2,-2,1,1,-2,-2,-2,1,,-3,1,-1,-3,-1,6,5,3,,26,21,23,20,,122,2m:2s,AnonymousUser,5fc10c9ec1c0520a44a0d902,64413b04f9885d4cc8821c4a,645b8969d33d6f5b3f847c24,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5fc10c9ec1c0520a44a0d902&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b8969d33d6f5b3f847c24,1,6,2,11,3,82,7,105,,61,6,34,5,14,15023,,,,,4,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:10:59.093419,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5e7e1679f8a96f4be83e51e4,,,1,1,-1,-1,1,-2,1,1,1,-2,,-3,-3,1,-2,1,31,7,4,30,48,19,,49,,222,3m:42s,AnonymousUser,5e7e1679f8a96f4be83e51e4,64413b04f9885d4cc8821c4a,645b89a7dd10587dc3acb907,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5e7e1679f8a96f4be83e51e4&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b89a7dd10587dc3acb907,1,31,2,38,3,188,,109,6,42,4,61,5,139,15024,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:11:02.283909,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5f2ef53d7729c52ae63230a2,,,1,-3,1,-2,1,-2,1,1,1,1,,-2,-3,-2,-3,-1,20,5,4,29,49,27,,35,,186,3m:6s,AnonymousUser,5f2ef53d7729c52ae63230a2,64413b04f9885d4cc8821c4a,645b89a73d06d806dc24e31e,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5f2ef53d7729c52ae63230a2&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b89a73d06d806dc24e31e,1,20,2,25,3,169,,140,7,78,5,29,4,105,15025,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:11:31.064076,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5ec6c8ad6f911e0e87e58b1f,,,1,1,-1,-3,1,-2,1,1,1,-2,,-3,-1,-2,-2,1,8,31,4,27,,14,264,46,,407,6m:47s,AnonymousUser,5ec6c8ad6f911e0e87e58b1f,64413b04f9885d4cc8821c4a,645b89be92fd6c616189f999,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5ec6c8ad6f911e0e87e58b1f&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b89be92fd6c616189f999,1,8,2,39,3,84,6,43,4,70,5,394,,348,15026,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:12:01.469776,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,599082bccceb0f0001b39949,,,,1,-2,-3,1,1,,1,-1,-2,,-2,-3,-3,-2,-1,39,8,13,40,20,16,38,,,202,3m:22s,AnonymousUser,599082bccceb0f0001b39949,64413b954466c8a7f2cb51d1,645b89e04a8f88871ad702e0,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=599082bccceb0f0001b39949&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b89e04a8f88871ad702e0,1,39,2,47,3,136,7,96,6,60,4,76,5,174,15027,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:12:24.111541,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,641571922d04f807e7157a04,,,-2,-3,-1,1,1,-2,1,-1,-2,-3,,-1,-3,-2,1,-3,5,3,2,7,8,,7,8,,48,0m:48s,AnonymousUser,641571922d04f807e7157a04,64413beb7a2d6b000b31e13a,645b88871d27e554c59a2bda,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=641571922d04f807e7157a04&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b88871d27e554c59a2bda,1,5,2,9,3,26,6,19,5,42,,33,7,11,15028,,,,,4,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:17:03.236197,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5fc74458251f3e227721687f,,,1,-1,-1,-1,1,-2,1,-1,-1,1,,-2,1,-2,-3,1,5,8,2,13,15,10,39,,,113,1m:53s,AnonymousUser,5fc74458251f3e227721687f,64413b04f9885d4cc8821c4a,645b8b32e4bc7fa0c0d2b776,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5fc74458251f3e227721687f&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b8b32e4bc7fa0c0d2b776,1,5,2,13,3,15,4,79,7,69,6,54,5,92,15029,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:17:09.779831,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,5cd05f58395afc00178f3918,,,1,1,-1,1,1,1,1,1,1,-2,,-2,1,-2,1,-1,9,9,3,35,39,67,25,,,225,3m:45s,AnonymousUser,5cd05f58395afc00178f3918,64413b954466c8a7f2cb51d1,645b8b2eab71e1b4a6d702ce,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=5cd05f58395afc00178f3918&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b8b2eab71e1b4a6d702ce,1,9,2,18,3,162,7,127,6,21,4,88,5,188,15030,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 13:18:25.883995,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,611bac33b05155b4845a6f41,,,-3,1,1,-2,-1,-2,-1,1,1,1,,1,-1,1,-2,-3,5,8,1,,38,110,20,45,,262,4m:22s,AnonymousUser,611bac33b05155b4845a6f41,64413b04f9885d4cc8821c4a,645b8b84ee027b4edecd0ee1,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=611bac33b05155b4845a6f41&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b8b84ee027b4edecd0ee1,1,5,2,13,3,209,7,229,,14,4,171,6,125,15031,,,,,5,,,,,,,,,,,,,,,
