username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_res_1,Q_res_2,Q_res_3,Q_hum_1,Q_hum_2,Q_hum_3,Q_ani_1,Q_ani_2,Q_ani_3,Q_lif_1,Q_lif_2,Q_lif_3,Q_dee_1,Q_dee_2,Q_dee_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Restoring a Coral Reef, memory questions","rt_Hummingbird, memory questions","rt_Animal Encounter, memory questions","rt_Life of a Tree, memory questions","rt_Restoring a Coral Reef, memory questions",survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,textxr_participant_id,textxr_uuid,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,"survey_page_changed_to_Restoring a Coral Reef, memory questions","order_Restoring a Coral Reef, memory questions","survey_page_changed_to_Hummingbird, memory questions","order_Hummingbird, memory questions","survey_page_changed_to_Animal Encounter, memory questions","order_Animal Encounter, memory questions","survey_page_changed_to_Life of a Tree, memory questions","order_Life of a Tree, memory questions","survey_page_changed_to_Restoring a Coral Reef, memory questions_1",internal_id,"rt_Restoring a Coral Reef, memory questions_1","survey_page_changed_to_Hummingbird, memory questions_1","rt_Hummingbird, memory questions_1","survey_page_changed_to_Restoring a Coral Reef, memory questions_1_2","rt_Restoring a Coral Reef, memory questions_1_2",rt_general info_1,pageNumber,order_general info_1,order_demographics_1,survey_page_changed_to_intro_to_mem_qs_1_2,rt_intro_to_mem_qs_1_2,"survey_page_changed_to_Restoring a Coral Reef, memory questions_1_2_3","rt_Restoring a Coral Reef, memory questions_1_2_3","survey_page_changed_to_Life of a Tree, memory questions_1","rt_Life of a Tree, memory questions_1","survey_page_changed_to_Animal Encounter, memory questions_1","rt_Animal Encounter, memory questions_1",survey_page_changed_to_demographics_1_2,rt_demographics_1_2,testxr_participant_id,testxr_uuid,survey_page_changed_to_general info_1,rt_general info_1_2,survey_page_changed_to_demographics_1_2_3,rt_demographics_1_2_3
﻿,0,,,2023-06-22 11:26:07.065011,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,63d40e1748df54e627f3022b,,,-1,-1,-3,1,1,-1,1,1,1,1,1,1,1,-3,1,302,28,1,101,123,117,106,101,,840,14m:0s,AnonymousUser,63d40e1748df54e627f3022b,647e17c51e8a3d081bc279dc,64941c14f19bd820986bdfb5,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=63d40e1748df54e627f3022b&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64941c14f19bd820986bdfb5,None,c98873d5-fc3e-4917-8a82-a620c212655e,1,302,2,330,3,,,,,437,5,655,7,538,6,331,4,779,18184,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:26:59.368391,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,5ca9106716aa84001725d880,,,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-3,1,7,11,1,62,17,56,,62,,182,3m:2s,AnonymousUser,5ca9106716aa84001725d880,647e1923e8479d52e088a84c,649421e1a373d8d41d198de1,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=5ca9106716aa84001725d880&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=649421e1a373d8d41d198de1,None,16322171-1c84-4ff0-9cc2-23c7e99d4cc3,1,7,2,18,3,,,,,94,6,20,4,37,5,169,,156,18185,13,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:27:48.308615,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,5e20f82d7a9ded404eb3d3d2,,,-2,1,-1,-3,1,-2,-3,1,-2,-2,1,-1,-3,-1,-2,9,5,5,15,14,21,18,15,,104,1m:44s,AnonymousUser,5e20f82d7a9ded404eb3d3d2,647e17c51e8a3d081bc279dc,6494220625524877f6c9b0de,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=5e20f82d7a9ded404eb3d3d2&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=6494220625524877f6c9b0de,None,c6979f4e-97f9-4f91-b467-97f0b265463c,1,9,2,14,3,,,,,54,6,19,4,33,5,69,7,87,18186,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:29:58.398118,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,60d4aa208e23c392761da4a9,,,-3,-3,-2,1,1,1,1,-3,1,-1,1,-1,-2,-3,-1,6,5,3,9,15,13,24,9,,85,1m:25s,AnonymousUser,60d4aa208e23c392761da4a9,647e16b65f06df7a3ddcb304,649422991c3370673d0f1455,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=60d4aa208e23c392761da4a9&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649422991c3370673d0f1455,None,9d060b5a-2181-46cd-b0b4-db92ca82ed10,1,6,2,11,3,,,,,53,6,14,4,62,7,29,5,75,18187,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:30:36.192717,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,5dcc108c6eab9a8ab9e4f24b,,,1,-1,-1,1,1,1,1,1,1,-2,1,1,1,-1,-2,6,10,6,46,20,44,,46,,175,2m:55s,AnonymousUser,5dcc108c6eab9a8ab9e4f24b,647e16b65f06df7a3ddcb304,649422c186f5c8ca0f1a30d3,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=5dcc108c6eab9a8ab9e4f24b&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649422c186f5c8ca0f1a30d3,None,2b72d865-988c-48dd-9dec-4886cc84a442,1,6,2,16,3,,,,,22,4,112,6,68,5,154,,132,18188,22,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:31:16.497407,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,5eedf5e043cc1623f44baf6e,,,-2,-3,1,1,-1,-1,-3,1,1,-2,-1,-1,-2,-3,1,5,7,8,40,21,36,,40,,168,2m:48s,AnonymousUser,5eedf5e043cc1623f44baf6e,647e16b65f06df7a3ddcb304,649422da06fa0098eebbb190,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=5eedf5e043cc1623f44baf6e&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649422da06fa0098eebbb190,None,f914a0da-4d85-4504-81d3-dca9d5953d90,1,5,2,12,3,,,,,20,4,60,5,115,6,152,,81,18189,34,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:31:28.664815,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,5e22ba9ced7a20578dfb1ee4,,,1,-2,1,-2,1,1,1,1,1,-2,1,-2,-1,-1,1,14,9,5,14,13,,12,14,,99,1m:39s,AnonymousUser,5e22ba9ced7a20578dfb1ee4,647e17c51e8a3d081bc279dc,649422eb489953128c5c083f,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=5e22ba9ced7a20578dfb1ee4&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=649422eb489953128c5c083f,None,f121cbda-8a7f-4d2a-af18-c14beb23959a,1,14,2,23,3,,,,,41,5,28,4,83,,71,6,55,18190,15,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:31:48.099587,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,60d4aa208e23c392761da4a9,,,-3,-3,-3,1,1,1,1,-3,-2,-1,1,-1,-2,-3,-1,21,4,2,6,7,8,,6,,62,1m:2s,AnonymousUser,60d4aa208e23c392761da4a9,647e16b65f06df7a3ddcb304,649422991c3370673d0f1455,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=60d4aa208e23c392761da4a9&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649422991c3370673d0f1455,None,3ac802ff-10e1-4813-9594-5d470f382605,1,21,2,25,3,,,,,34,5,27,4,40,6,54,,48,18191,6,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:33:06.653220,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,641362db1483990abb1a4c9a,,,-3,-3,-3,1,-3,-2,1,1,-2,1,-1,1,-3,-2,-3,19,213,2,93,,68,22,93,,694,11m:34s,AnonymousUser,641362db1483990abb1a4c9a,647e17c51e8a3d081bc279dc,64942334e7fff5b24da4753a,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=641362db1483990abb1a4c9a&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64942334e7fff5b24da4753a,None,65fcc5dc-e48f-43e6-97f4-3f3bb0afdc42,1,19,2,232,3,,,,,234,4,673,,605,6,327,5,349,18192,256,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:33:46.691039,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,603f046f9e0097fff158ae13,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,10,4,136,35,,17,136,,287,4m:47s,AnonymousUser,603f046f9e0097fff158ae13,647e1923e8479d52e088a84c,649423751bb093659ea6f9e6,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=603f046f9e0097fff158ae13&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=649423751bb093659ea6f9e6,None,6fae7035-74e6-4a54-bdd7-5db74709f5e1,1,14,2,24,3,,,,,80,6,28,4,267,,63,5,216,18193,51,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:38:53.659428,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,60fd1cafe3de7892fe9b3bd4,,,-3,1,-2,1,-2,-1,1,1,1,-2,1,-1,-2,-1,1,7,7,9,35,29,35,,35,,182,3m:2s,AnonymousUser,60fd1cafe3de7892fe9b3bd4,647e16b65f06df7a3ddcb304,649424b023ceabee4fd91b1b,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=60fd1cafe3de7892fe9b3bd4&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649424b023ceabee4fd91b1b,None,103899fb-5cf1-498e-b3d8-1d5ba33af784,1,7,2,14,3,,,,,58,5,94,6,23,4,159,,123,18194,35,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:40:12.646429,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,6465b6905f56ad5000639202,,,1,-2,1,,1,1,1,,1,1,1,1,-2,1,-2,21,8,7,46,,40,30,46,,295,4m:55s,AnonymousUser,6465b6905f56ad5000639202,647e1923e8479d52e088a84c,649424e9036b296a5174fb06,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=6465b6905f56ad5000639202&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=649424e9036b296a5174fb06,None,affa7dfd-9da1-4a91-be44-f7c4a9de39ef,1,21,2,29,3,,,,,37,4,256,,216,6,83,5,113,18195,103,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:42:31.766987,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,6296232fd9b0f263f2e6d226,,,-3,1,-1,1,-2,1,-2,-3,1,-2,-2,-1,-1,-2,1,4,4,4,26,,24,16,26,,131,2m:11s,AnonymousUser,6296232fd9b0f263f2e6d226,647e16b65f06df7a3ddcb304,649424df02f910fe3a04bb5a,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=6296232fd9b0f263f2e6d226&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649424df02f910fe3a04bb5a,None,6087ed27-877e-4f62-978e-6cb84d81c87f,1,4,2,8,3,,,,,12,4,95,,38,5,79,6,62,18196,17,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:42:46.415077,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,60a80fbd13aba726d46b8f2e,,,-3,1,-1,1,-2,-3,-2,1,1,-2,-1,1,-2,-3,,2,5,5,24,33,28,,24,,164,2m:44s,AnonymousUser,60a80fbd13aba726d46b8f2e,647e1923e8479d52e088a84c,6494259f9b8e41938e70a882,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=60a80fbd13aba726d46b8f2e&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=6494259f9b8e41938e70a882,None,8f9983b4-a0c0-4586-bcbb-e0ead4c482f6,1,2,2,7,3,,,,,12,4,36,5,97,6,125,,69,18197,28,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:43:37.738659,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,5f2149598f52b8017c4136d7,,,1,-1,1,-3,-2,1,1,1,1,1,1,1,1,-2,1,10,12,10,38,,28,50,38,,309,5m:9s,AnonymousUser,5f2149598f52b8017c4136d7,647e1923e8479d52e088a84c,649425bbe6252ac84aa6fa0f,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=5f2149598f52b8017c4136d7&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=649425bbe6252ac84aa6fa0f,None,5a1a1604-ebb1-4fe4-a42c-c3ffbf837174,1,11,2,23,3,,,,,62,5,252,,33,4,202,6,100,18198,102,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:44:41.638974,0b11ede2-83ef-4c8a-aff9-eaba8fecf84d,instagram_1month_BBC__underserved_flat,1,6159ffae3dec28bbdc15a715,,,1,-1,-1,1,-2,-1,1,1,-2,1,1,-1,1,-3,1,7,6,8,20,17,38,27,20,,149,2m:29s,AnonymousUser,6159ffae3dec28bbdc15a715,647e18032426740806fd3334,64942607d0db7f2e2ce5e35b,https://testxr.org/projects/survey/prolific/0b11ede2-83ef-4c8a-aff9-eaba8fecf84d/?PROLIFIC_PID=6159ffae3dec28bbdc15a715&STUDY_ID=647e18032426740806fd3334&SESSION_ID=64942607d0db7f2e2ce5e35b,None,b1508290-da05-4a4c-aeff-6f4133690812,1,7,2,13,3,,,,,59,5,79,6,21,4,96,7,123,18199,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:48:12.359087,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,60c04d8393dfe268cd7bb934,,,-2,-3,1,-1,,-3,1,1,-2,-1,-3,-1,1,-3,1,10,8,7,24,41,39,34,24,,190,3m:10s,AnonymousUser,60c04d8393dfe268cd7bb934,647e16b65f06df7a3ddcb304,649426da40fd3027e3eb3333,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=60c04d8393dfe268cd7bb934&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649426da40fd3027e3eb3333,None,427dc980-42cc-4553-9da8-003e276db4b0,1,10,2,18,3,,,,,100,6,25,4,124,7,66,5,163,18201,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:52:28.984600,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,60b3950b9a1de417d37bb8d2,,,-1,1,,1,1,-1,1,1,1,-2,1,1,-2,1,-1,4,10,6,105,48,77,2,105,14,360,6m:0s,AnonymousUser,60b3950b9a1de417d37bb8d2,647e17c51e8a3d081bc279dc,649427dcdf1bf49bf8b9d034,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=60b3950b9a1de417d37bb8d2&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=649427dcdf1bf49bf8b9d034,None,6d3b8a0f-2531-4500-98a3-aafbad7c70fe,1,4,2,36,3,27,9,,,169,6,42,4,91,5,275,7,277,18202,4,,,317,,12,,,,,,,,281,35,,,,,,,,,,
﻿,0,,,2023-06-22 11:54:23.723295,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,62a728828075b57c01e8c1e5,,,1,-3,-1,-2,-3,1,1,1,-1,1,1,1,1,-1,1,38,7,14,55,,80,88,55,45,461,7m:41s,AnonymousUser,62a728828075b57c01e8c1e5,647e1923e8479d52e088a84c,6494282227b78036a470a87b,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=62a728828075b57c01e8c1e5&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=6494282227b78036a470a87b,None,10f5fdc9-a883-44f7-ae39-f769505c29b2,1,38,2,102,3,79,23,,,285,6,406,,205,5,116,4,340,18203,66,,,,,34,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:54:52.372770,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,63e523253c16174a24069dee,,,1,1,1,-3,1,1,1,1,1,-2,1,-1,-1,-2,-1,15,14,8,155,99,94,62,155,,543,9m:3s,AnonymousUser,63e523253c16174a24069dee,647e1923e8479d52e088a84c,6494285438b2b8e2fa21ce22,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=63e523253c16174a24069dee&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=6494285438b2b8e2fa21ce22,None,80a533f4-8290-4a3a-b2ac-0d1fd0fd93b8,1,15,2,30,3,,,,,39,4,289,6,194,5,388,7,450,18204,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 11:57:50.930199,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,62d81f26161631255f0d36bd,,,1,1,1,1,1,1,1,1,1,1,1,1,-2,1,1,13,12,3,23,14,24,19,23,,134,2m:14s,AnonymousUser,62d81f26161631255f0d36bd,647e16b65f06df7a3ddcb304,64942912636da3ce38027286,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=62d81f26161631255f0d36bd&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=64942912636da3ce38027286,None,a861af3c-1278-4a5e-a6e2-129f91868823,1,13,2,25,3,,,,,66,6,28,4,42,5,89,7,108,18213,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:01:45.447379,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,611adf7c7e7be43825a0676a,,,-3,-2,1,-3,-1,1,1,1,1,-2,1,1,1,-2,1,28,19,6,97,30,28,,97,,245,4m:5s,AnonymousUser,611adf7c7e7be43825a0676a,647e1923e8479d52e088a84c,649429f649a1e6e48abdc0e7,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=611adf7c7e7be43825a0676a&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=649429f649a1e6e48abdc0e7,None,d39028c5-bb1c-46de-9669-f281a1455fc1,1,28,2,47,3,,,,,83,5,53,4,180,6,227,,208,18220,19,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:02:46.154479,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,63ebf9d055df4a7066fd5e95,,,-1,-3,-1,1,1,-1,1,-1,-3,1,1,1,-2,-2,-3,26,10,3,255,364,352,,255,,1309,21m:49s,AnonymousUser,63ebf9d055df4a7066fd5e95,647e1923e8479d52e088a84c,64942a2c9388e5aa09138764,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=63ebf9d055df4a7066fd5e95&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64942a2c9388e5aa09138764,None,a8a2d2a7-c8db-4f36-a8dd-d42fdc5d834b,1,26,2,36,3,,,,,40,4,716,6,364,5,1081,,295,18222,69,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:03:36.308796,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,5fd43258ee3342198d98e75a,,,-1,-3,-2,-3,1,-2,-2,1,1,1,-3,1,-1,-1,-1,10,5,4,26,19,23,,26,,123,2m:3s,AnonymousUser,5fd43258ee3342198d98e75a,647e16b65f06df7a3ddcb304,64942a698d14ec3fa172e750,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=5fd43258ee3342198d98e75a&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=64942a698d14ec3fa172e750,None,5917dee1-519f-4767-9ebb-ab9e19f37075,1,10,2,15,3,,,,,19,4,45,5,64,6,109,,87,18224,22,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:12:52.924800,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,63d24f43a383f9f1a7be6452,,,1,1,-1,1,1,1,-3,-3,-3,1,-3,1,-2,-3,-1,17,36,23,183,274,,418,183,,1258,20m:58s,AnonymousUser,63d24f43a383f9f1a7be6452,647e17c51e8a3d081bc279dc,64942c2e3cc8c9489f56b89b,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=63d24f43a383f9f1a7be6452&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64942c2e3cc8c9489f56b89b,None,8e93a2d8-7701-4281-a780-6b41e29bce49,1,17,2,53,3,,,,,495,5,803,6,1077,,77,4,678,18232,125,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:18:57.222859,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,5f0f7fe1d7ad1c000b42d091,,,-3,1,1,1,-3,-1,1,1,1,1,1,1,1,-3,-1,210,10,289,16,22,22,20,16,,604,10m:4s,AnonymousUser,5f0f7fe1d7ad1c000b42d091,647e17c51e8a3d081bc279dc,64942d3a8ccff25b3d2d4cf4,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=5f0f7fe1d7ad1c000b42d091&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64942d3a8ccff25b3d2d4cf4,None,f1b49a34-70b2-44e2-86fa-e09976c6b5f5,1,210,2,220,3,,,,,554,6,509,4,531,5,570,7,590,18239,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:22:51.521374,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,63ecfe3b0826d7f4ccc1100b,,,1,-2,1,1,-2,1,1,1,1,-2,1,-1,1,-1,1,5,14,16,39,53,,29,39,,242,4m:2s,AnonymousUser,63ecfe3b0826d7f4ccc1100b,647e1923e8479d52e088a84c,64942eaab7d94d93efda3ba2,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=63ecfe3b0826d7f4ccc1100b&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64942eaab7d94d93efda3ba2,None,d837dd43-1e0e-4ed0-a1b8-52775032e803,1,5,2,19,3,,,,,64,5,141,6,194,,35,4,103,18241,38,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:30:15.820685,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,615b5fe99e1373adef4e1a9e,,,-3,-1,-1,1,1,-2,-3,-3,1,-2,1,-2,1,-1,-2,5,9,3,31,,28,20,31,,156,2m:36s,AnonymousUser,615b5fe99e1373adef4e1a9e,647e16b65f06df7a3ddcb304,649430bcaf8d8b3f2a8a182d,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=615b5fe99e1373adef4e1a9e&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649430bcaf8d8b3f2a8a182d,None,76d86393-5038-406a-ab94-8973f0e82753,1,5,2,14,3,,,,,17,4,134,,48,5,114,6,76,18246,37,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:35:44.504065,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,614a364262425c90d9059a00,,,-3,,1,1,-1,-2,-2,-1,1,-2,-1,-1,-1,-3,-3,16,8,9,25,70,27,,25,,3867,64m:27s,AnonymousUser,614a364262425c90d9059a00,647e1923e8479d52e088a84c,64942fec27e4d868f9cbe55a,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=614a364262425c90d9059a00&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64942fec27e4d868f9cbe55a,None,24e28fc7-b3da-4bfc-ba83-0918d3a83f51,1,16,2,24,3,,,,,33,4,3772,6,3745,5,3842,,59,18249,3685,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:46:29.604749,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,57334d427d01ed00098e8e69,,,1,1,1,1,1,1,1,1,1,-1,1,1,1,-3,1,18,7,3,75,53,,34,75,,253,4m:13s,AnonymousUser,57334d427d01ed00098e8e69,647e17c51e8a3d081bc279dc,6494347ac4b28fbdd122e1d8,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=57334d427d01ed00098e8e69&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=6494347ac4b28fbdd122e1d8,None,d18ac9bf-a26b-4466-9812-d225eb1a1116,1,18,2,25,3,,,,,28,4,138,6,223,,103,5,191,18254,32,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 12:47:39.396277,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,63f7a3b799889de3f13622db,,,-2,1,1,-1,1,1,1,1,1,1,1,1,-2,-3,-3,5,12,3,19,12,5,,19,21,118,1m:58s,AnonymousUser,63f7a3b799889de3f13622db,647e16b65f06df7a3ddcb304,649434d1cf43e7fbae9862cb,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=63f7a3b799889de3f13622db&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649434d1cf43e7fbae9862cb,None,080ad718-cd3c-45c9-953c-7bff6765d562,1,5,2,17,3,20,1,24,1,67,6,55,5,25,4,97,,86,18255,11,,,,,2,,,,30,3,,,,,33,22,23,1,,,,,,
