username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_el_1,Q_el_2,Q_el_3,Q_ay_1,Q_ay_2,Q_ay_3,Q_sp_1,Q_sp_2,Q_sp_3,Q_dd_1,Q_dd_2,Q_dd_3,Q_ss_1,Q_ss_2,Q_ss_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Filter my world, memory questions","rt_Filter about Artify Yourself, memory questions","rt_Filter about a Shadow Puppet Show, memory questions","rt_Filter about a Dance with Durga, memory questions",rt_Filter about Stories for Stitches,survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,textxr_participant_id,textxr_uuid,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,survey_page_changed_to_Filter about Stories for Stitches,order_Filter about Stories for Stitches,"survey_page_changed_to_Filter my world, memory questions","order_Filter my world, memory questions","survey_page_changed_to_Filter about a Dance with Durga, memory questions","order_Filter about a Dance with Durga, memory questions","survey_page_changed_to_Filter about Artify Yourself, memory questions","order_Filter about Artify Yourself, memory questions","survey_page_changed_to_Filter about a Shadow Puppet Show, memory questions",internal_id,"order_Filter about a Shadow Puppet Show, memory questions",survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,survey_page_changed_to_Filter about Stories for Stitches_1,rt_Filter about Stories for Stitches_1,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1_2,rt_intro_to_mem_qs_1_2,pageNumber,rt_general info_1,order_general info_1,"survey_page_changed_to_Filter my world, memory questions_1","rt_Filter my world, memory questions_1","survey_page_changed_to_Filter about a Dance with Durga, memory questions_1",Q_dd_1-Comment,survey_page_changed_to_demographics_1_2,rt_demographics_1_2,order_demographics_1,order_intro_to_mem_qs_1,survey_page_changed_to_intro_to_mem_qs_1_2_3,survey_page_changed_to_demographics_1_2_3,survey_page_changed_to_demographics_1_2_3_4,rt_demographics_1_2_3,survey_page_changed_to_intro_to_mem_qs_1_2_3_4,rt_intro_to_mem_qs_1_2_3,survey_page_changed_to_Filter about Stories for Stitches_1_2,rt_Filter about Stories for Stitches_1_2,"survey_page_changed_to_Filter about Artify Yourself, memory questions_1","rt_Filter about Artify Yourself, memory questions_1","rt_Filter about a Dance with Durga, memory questions_1","survey_page_changed_to_Filter about a Shadow Puppet Show, memory questions_1","rt_Filter about a Shadow Puppet Show, memory questions_1","survey_page_changed_to_Filter about a Dance with Durga, memory questions_1_2","rt_Filter about a Dance with Durga, memory questions_1_2",testxr_participant_id,testxr_uuid
﻿,0,,,2023-06-14 14:43:30.273490,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5f39806dc29bbc1014a85a72,,,-1,1,-1,-1,-3,-3,1,1,-1,1,-2,1,-1,-2,-1,5,7,3,22,,16,19,35,,131,2m:11s,AnonymousUser,5f39806dc29bbc1014a85a72,647e158528ccd252f9e1378b,6489c3e9b6efd1f2269838d4,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5f39806dc29bbc1014a85a72&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=6489c3e9b6efd1f2269838d4,None,859d02f2-ca4b-4cd2-a10a-2c00358bf038,1,5,2,12,3,15,4,85,7,50,5,107,,69,17388,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:44:01.481923,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5ef877bb6b0ed15b3f6ae106,,,1,1,1,-2,-3,1,-2,1,1,1,1,-2,-2,-2,-1,21,862,3,11,8,11,,20,,950,15m:50s,AnonymousUser,5ef877bb6b0ed15b3f6ae106,647e158528ccd252f9e1378b,6489c1e4dc45641ce8ff7073,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5ef877bb6b0ed15b3f6ae106&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=6489c1e4dc45641ce8ff7073,None,ef9d9887-abe3-4180-bf7c-c8e26a8544cd,1,21,2,883,3,886,4,914,6,936,,906,5,925,17389,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:44:14.565160,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,6098a3e57a6b8b5d80f1226e,,,1,1,-2,1,-3,-2,1,1,1,-1,1,-1,-2,-2,-1,28,4,6,13,22,,89,37,,226,3m:46s,AnonymousUser,6098a3e57a6b8b5d80f1226e,647e158528ccd252f9e1378b,6489c402a319ad60bd7288be,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=6098a3e57a6b8b5d80f1226e&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=6489c402a319ad60bd7288be,None,a2239dc3-a741-41fe-a118-42cee359fc4d,1,28,2,32,3,38,4,75,5,88,6,177,7,199,17390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:44:39.877897,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5eb2cd389686d8067b6b090f,,,-2,1,-3,1,-3,,-2,-1,-3,1,1,-2,1,-3,1,5,5,5,27,54,,44,14,,162,2m:42s,AnonymousUser,5eb2cd389686d8067b6b090f,647e158528ccd252f9e1378b,6489c4380b72ad98fd5c9512,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5eb2cd389686d8067b6b090f&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=6489c4380b72ad98fd5c9512,None,332f36c3-9046-4268-aa26-af13033f3877,1,5,2,10,3,15,4,29,5,110,7,56,6,154,17391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:45:00.292069,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,630382c1d9577402e38fd9f3,,,1,1,1,1,-3,1,-2,-1,1,1,-1,-1,-3,-1,-1,352,14,6,17,,30,22,29,,495,8m:15s,AnonymousUser,630382c1d9577402e38fd9f3,647e158528ccd252f9e1378b,6489c2ed4b999aeaaec5e869,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=630382c1d9577402e38fd9f3&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=6489c2ed4b999aeaaec5e869,None,daf9ca3f-5c63-442e-ae6a-541381db96a9,1,352,2,366,3,372,4,431,6,448,7,470,,401,17392,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:45:35.784292,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,63d79eb140827bcc78bcce66,,,1,-1,1,1,1,1,1,-1,1,1,1,-2,-2,1,-1,15,7,7,12,20,,20,14,,111,1m:51s,AnonymousUser,63d79eb140827bcc78bcce66,647e158528ccd252f9e1378b,6489c45ee7b14b912081616e,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=63d79eb140827bcc78bcce66&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=6489c45ee7b14b912081616e,None,288b055c-c42a-49a9-9275-71e56b38f0c6,1,15,2,22,3,29,4,43,5,75,7,55,6,96,17393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:46:04.517478,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,615ecf9bbbde0569cbf6fe21,,,1,1,-2,1,1,1,-1,1,-1,-2,-3,-1,-1,-2,-3,24,12,2,,13,15,16,14,,113,1m:53s,AnonymousUser,615ecf9bbbde0569cbf6fe21,647e158528ccd252f9e1378b,6489c47ee8af2a2f776bae4a,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=615ecf9bbbde0569cbf6fe21&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=6489c47ee8af2a2f776bae4a,None,de7b265d-c525-4471-8649-ae52ed053d8a,1,24,2,36,3,44,4,102,,86,7,73,6,58,17394,5,40,4,,,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:46:52.312651,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,,,,1,1,-3,-2,1,-1,-1,-1,-2,-3,1,1,1,-2,1,271,2,150,13,17,,13,52,,708,11m:48s,AnonymousUser,63e78f40c7888fff275a9dea,647e158528ccd252f9e1378b,6489c39c1ff4b28b54c32f2e,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=63e78f40c7888fff275a9dea&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=6489c39c1ff4b28b54c32f2e,None,eeaa4394-4fc8-48f9-9a64-e04e7c71ff1d,1,271,2,273,3,423,4,475,5,505,7,488,6,518,17395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:48:24.271775,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,5ad614eb33a3ab0001fa62cd,,,-2,1,-1,-2,-3,-2,-1,1,-1,1,1,-2,-2,-1,-3,5,9,3,13,21,13,,20,,102,1m:42s,AnonymousUser,5ad614eb33a3ab0001fa62cd,647e1333ecfafc675f9b0499,6489c51db2823e709fdcc364,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=5ad614eb33a3ab0001fa62cd&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489c51db2823e709fdcc364,None,1e8ea22a-0f99-4cad-8c9a-c30fe4a8d6e8,1,5,2,14,3,18,4,38,5,85,,51,6,72,17396,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:51:55.130584,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,6102d8624dccba6b6923eaa7,,,1,-3,-2,1,-3,-3,1,-1,-1,-3,-3,1,1,-3,-3,199,5,5,11,14,21,,15,,290,4m:50s,AnonymousUser,6102d8624dccba6b6923eaa7,647e1333ecfafc675f9b0499,6489c4f87607843198cd9226,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=6102d8624dccba6b6923eaa7&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489c4f87607843198cd9226,None,1972653c-84a0-4857-b318-7e88462541ba,1,199,2,204,3,209,4,224,5,270,,256,7,235,17397,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 14:57:01.150798,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,6446d1f0f7f41549a30cdccf,,,1,-1,-3,1,-3,1,1,-1,-3,1,1,-2,1,-1,-3,14,7,6,13,,14,12,14,,96,1m:36s,AnonymousUser,6446d1f0f7f41549a30cdccf,647e1333ecfafc675f9b0499,6489c6b83767ea780db19fa5,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=6446d1f0f7f41549a30cdccf&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489c6b83767ea780db19fa5,None,09fa2127-ae93-44ef-964c-74cb9cc794f0,1,14,2,21,3,27,4,69,7,41,5,82,,54,17398,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 15:00:06.256567,7c84c335-14bb-4f3a-bf50-d6767efcf75e,instagram_1month_MAP__underserved_flat,1,5c818e8ebae6c40016f58e91,,,1,-2,-2,-2,-3,1,1,-1,-2,1,-1,1,-2,1,-3,54,5,3,10,20,8,,36,,156,2m:36s,AnonymousUser,5c818e8ebae6c40016f58e91,647e1520657b3e741e290106,6489c792391988be9bda42a9,https://testxr.org/projects/survey/prolific/7c84c335-14bb-4f3a-bf50-d6767efcf75e/?PROLIFIC_PID=5c818e8ebae6c40016f58e91&STUDY_ID=647e1520657b3e741e290106&SESSION_ID=6489c792391988be9bda42a9,None,3e4be459-fcd3-4f53-82e2-4ab143bfa1cf,1,54,2,59,3,62,4,98,5,136,,116,7,108,17399,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 15:00:28.758582,7c84c335-14bb-4f3a-bf50-d6767efcf75e,instagram_1month_MAP__underserved_flat,1,5e9f877ee0b0960f3d2b6d30,,,1,1,-1,-3,1,-2,-1,-1,-1,1,1,-2,1,-2,-1,8,8,6,11,22,20,,16,,110,1m:50s,AnonymousUser,5e9f877ee0b0960f3d2b6d30,647e1520657b3e741e290106,6489c7ed011746c4806c8273,https://testxr.org/projects/survey/prolific/7c84c335-14bb-4f3a-bf50-d6767efcf75e/?PROLIFIC_PID=5e9f877ee0b0960f3d2b6d30&STUDY_ID=647e1520657b3e741e290106&SESSION_ID=6489c7ed011746c4806c8273,None,a8c2c6bb-5187-4ec2-9e08-e63912a81e6e,1,8,2,16,3,23,4,81,7,92,,39,5,61,17400,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 15:04:52.512604,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,5f9081feb4e03514871e9cee,,,1,-3,-2,1,1,-2,1,-2,1,1,-1,-2,1,-2,1,13,13,5,10,17,15,,15,,104,1m:44s,AnonymousUser,5f9081feb4e03514871e9cee,647e1333ecfafc675f9b0499,6489c8f07997cffdcb7beb69,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=5f9081feb4e03514871e9cee&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489c8f07997cffdcb7beb69,None,e4f8e6ee-1e91-49e8-bd40-58f0f5405cb5,1,13,2,26,3,31,4,78,7,88,,46,5,63,17401,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 15:11:57.460104,7c84c335-14bb-4f3a-bf50-d6767efcf75e,instagram_1month_MAP__underserved_flat,1,62ab53520bb280439345fd6c,,,1,-3,1,1,1,-1,-2,1,-2,1,1,-1,-2,-1,-2,56,20,10,18,,30,28,19,,199,3m:19s,AnonymousUser,62ab53520bb280439345fd6c,647e1520657b3e741e290106,6489ca66b9b45962c7c2a224,https://testxr.org/projects/survey/prolific/7c84c335-14bb-4f3a-bf50-d6767efcf75e/?PROLIFIC_PID=62ab53520bb280439345fd6c&STUDY_ID=647e1520657b3e741e290106&SESSION_ID=6489ca66b9b45962c7c2a224,None,15619f61-ad1c-41c4-822f-5d644973e169,1,56,2,76,3,87,4,107,5,125,6,183,,153,17402,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 15:13:47.182353,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,5dcfc4a09595a10cd3ef3e59,,,-2,-3,-3,1,1,-1,-1,-1,-2,1,1,-1,-3,-2,-1,11,16,3,12,13,,14,37,,125,2m:5s,AnonymousUser,5dcfc4a09595a10cd3ef3e59,647e1333ecfafc675f9b0499,6489cb0890c388f742bcbad9,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=5dcfc4a09595a10cd3ef3e59&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489cb0890c388f742bcbad9,None,6d74a668-ec44-47ab-91b0-24733b31202d,1,11,2,27,3,30,4,67,5,79,6,93,7,106,17403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 15:25:58.845766,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,5eaf0f7a12e7015e515672f5,,,1,-2,-1,1,-3,-2,-1,1,1,1,1,-1,-2,-1,-2,4,11,3,12,,26,15,17,,99,1m:39s,AnonymousUser,5eaf0f7a12e7015e515672f5,647e1333ecfafc675f9b0499,6489cdd1cb98f4f2f39e3ac5,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=5eaf0f7a12e7015e515672f5&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489cdd1cb98f4f2f39e3ac5,None,d7b3755c-bf4e-4033-a1a9-5d0f70991b2d,1,4,2,15,3,18,4,76,7,35,5,88,,50,17404,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 15:26:15.456425,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,6116f60ae8f48f7d1244e8d3,,,1,-1,-3,1,-3,-2,-3,1,1,1,1,-2,-2,-1,-3,13,6,6,,27,32,37,18,,162,2m:42s,AnonymousUser,6116f60ae8f48f7d1244e8d3,647e1333ecfafc675f9b0499,6489cde49dc822b508354446,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=6116f60ae8f48f7d1244e8d3&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489cde49dc822b508354446,None,a0036249-763e-433f-be5b-f3f5d1e07a37,1,13,2,19,3,25,4,139,,43,5,80,6,107,17405,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 15:48:36.236062,7c84c335-14bb-4f3a-bf50-d6767efcf75e,instagram_1month_MAP__underserved_flat,1,,,,-2,-1,-2,-1,1,-3,-1,-2,-2,-3,-1,-3,1,-3,1,6,1,2,3,,4,3,7,,30,0m:30s,AnonymousUser,641357940d21053c24a9ac33,647e1520657b3e741e290106,6489d333b585103139d2504c,https://testxr.org/projects/survey/prolific/7c84c335-14bb-4f3a-bf50-d6767efcf75e/?PROLIFIC_PID=641357940d21053c24a9ac33&STUDY_ID=647e1520657b3e741e290106&SESSION_ID=6489d333b585103139d2504c,None,dd39707f-1425-4c25-8360-3aa7113d58c6,1,6,2,7,3,9,4,16,5,19,6,26,,22,17406,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 15:53:38.522798,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,5edadb2cbb85be17ec5f60e3,,,1,1,-3,-3,1,-2,-1,-2,-1,1,1,-1,-2,-2,-1,6,5,2,14,,13,17,20,,89,1m:29s,AnonymousUser,5edadb2cbb85be17ec5f60e3,647e1333ecfafc675f9b0499,6489d4667a71378b30397ec8,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=5edadb2cbb85be17ec5f60e3&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489d4667a71378b30397ec8,None,d1e2071a-4ac0-4c19-b5c0-cd272f4dfb08,1,6,2,11,3,13,4,33,5,47,6,77,,64,17407,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 16:08:43.345326,7c84c335-14bb-4f3a-bf50-d6767efcf75e,instagram_1month_MAP__underserved_flat,1,6156269561439e9eda41a5bd,,,1,-3,-2,1,-3,1,-3,-1,1,1,-3,-2,-3,-1,-3,8,5,7,,3,8,9,12,41,80,1m:20s,AnonymousUser,6156269561439e9eda41a5bd,647e1520657b3e741e290106,6489d7ec6db7348deb474fcd,https://testxr.org/projects/survey/prolific/7c84c335-14bb-4f3a-bf50-d6767efcf75e/?PROLIFIC_PID=6156269561439e9eda41a5bd&STUDY_ID=647e1520657b3e741e290106&SESSION_ID=6489d7ec6db7348deb474fcd,None,53462d5f-9a52-463e-ab2d-d256d259e6b0,1,8,2,13,3,21,4,73,,56,6,33,5,65,17409,7,20,1,36,2,20,1,38,1,,3,,,,,,38,1,,,39,40,44,,44,1,45,2,47,9,,,,,,,
﻿,0,,,2023-06-14 16:16:24.220238,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,63f519601c333d44a17bb35a,,,1,-3,-2,-2,1,-2,1,1,1,1,1,1,1,-1,1,8,7,5,22,,33,28,40,,179,2m:59s,AnonymousUser,63f519601c333d44a17bb35a,647e1333ecfafc675f9b0499,6489d9b4f1d2aaa015e23117,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=63f519601c333d44a17bb35a&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489d9b4f1d2aaa015e23117,None,a5b8094f-912e-4c2e-8f91-5162db3e11a5,1,8,2,15,3,20,4,93,6,115,7,143,,60,17411,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 16:17:29.364867,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,63d7c67eba7ffd579000d595,,,1,-3,1,-1,-2,-2,1,-1,-1,1,1,1,-2,-2,-1,12,5,2,,19,8,16,18,,93,1m:33s,AnonymousUser,63d7c67eba7ffd579000d595,647e1333ecfafc675f9b0499,6489d9d0b3a88570062e6597,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=63d7c67eba7ffd579000d595&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489d9d0b3a88570062e6597,None,938a2c21-b4ed-41ef-87d7-51f754b7e92a,1,12,2,17,3,20,4,81,,38,5,62,7,54,17412,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 16:17:38.853865,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,5d1a4bd6339da6000112af6e,,,-2,-2,1,1,1,1,-3,1,1,1,1,-2,1,-1,-1,4,4,5,11,15,17,,19,,100,1m:40s,AnonymousUser,5d1a4bd6339da6000112af6e,647e1333ecfafc675f9b0499,6489da06dc2e289d98b46668,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=5d1a4bd6339da6000112af6e&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489da06dc2e289d98b46668,None,61fcbd26-7dd9-4f93-8cd6-145c359d79b7,1,4,2,8,3,13,4,47,6,76,,32,5,58,17413,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 16:19:01.737427,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,602c1891c8f632475a568fd0,,,1,,1,1,-3,1,-1,-1,-2,1,1,-1,-2,-2,-3,9,11,3,,20,12,20,7,,114,1m:54s,AnonymousUser,602c1891c8f632475a568fd0,647e1333ecfafc675f9b0499,6489da48c84c3b7f24a98e00,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=602c1891c8f632475a568fd0&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489da48c84c3b7f24a98e00,None,ed04c812-a8dd-4790-a3af-4275ca1961dd,1,9,2,20,3,23,4,100,,60,6,80,7,48,17414,5,30,4,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 16:33:03.457156,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,62e2a1dedc51b9209c72e74d,,,-2,-1,-1,-3,-1,1,1,-1,-2,1,1,-2,-2,1,-1,16,25,23,20,1,,2,25,,203,3m:23s,AnonymousUser,62e2a1dedc51b9209c72e74d,647e1333ecfafc675f9b0499,6489dd8867c3be86eebb8ea2,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=62e2a1dedc51b9209c72e74d&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489dd8867c3be86eebb8ea2,None,84d06160-6b5e-40c2-8baa-644014688208,1,17,2,42,3,66,4,92,5,113,7,112,6,164,17415,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,115,30,18,,,,,,
﻿,0,,,2023-06-14 16:34:29.488790,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,6413761e11e66bad9d8cbd71,,,1,1,-1,1,-3,-1,-1,1,-1,1,-1,-2,-2,-2,-3,46,22,8,13,17,,18,19,,167,2m:47s,AnonymousUser,6413761e11e66bad9d8cbd71,647e1333ecfafc675f9b0499,6489ddc363757f9fd4af999a,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=6413761e11e66bad9d8cbd71&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489ddc363757f9fd4af999a,None,d4f8ebd3-f1f8-4c54-b462-0d7939642f03,1,46,2,68,3,76,4,95,5,108,6,126,7,143,17416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 16:39:18.861323,53f6e544-6dfa-4207-b583-30c5bdc2fd6a,instagram_1month_MAP__underserved_ar,1,61059c8fd2df1b4374bd21d9,,,1,1,-1,-2,-3,-1,1,-1,1,1,-3,1,-3,-1,-1,9,5,3,,16,13,18,14,,88,1m:28s,AnonymousUser,61059c8fd2df1b4374bd21d9,647e1333ecfafc675f9b0499,6489df0d6cb2a3e8970fc829,https://testxr.org/projects/survey/prolific/53f6e544-6dfa-4207-b583-30c5bdc2fd6a/?PROLIFIC_PID=61059c8fd2df1b4374bd21d9&STUDY_ID=647e1333ecfafc675f9b0499&SESSION_ID=6489df0d6cb2a3e8970fc829,None,a1057175-1eb7-44d5-a923-4a6fbcc1d1e0,1,9,2,14,3,17,4,78,,60,7,31,5,47,17417,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 16:41:23.430428,7c84c335-14bb-4f3a-bf50-d6767efcf75e,instagram_1month_MAP__underserved_flat,1,62d132acb69af7bf169cdbb8,,,1,-1,-3,,-1,-1,1,-1,1,-2,-1,-1,1,-2,-1,13,11,7,12,18,,20,16,,112,1m:52s,AnonymousUser,62d132acb69af7bf169cdbb8,647e1520657b3e741e290106,6489df8e28f4e816cb0852f7,https://testxr.org/projects/survey/prolific/7c84c335-14bb-4f3a-bf50-d6767efcf75e/?PROLIFIC_PID=62d132acb69af7bf169cdbb8&STUDY_ID=647e1520657b3e741e290106&SESSION_ID=6489df8e28f4e816cb0852f7,None,24057005-480d-484f-9007-3d9ab4de5a37,1,13,2,24,3,31,4,85,7,47,5,67,6,98,17418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
